lib,async,sink,producers,msg_bytes,total,p50_ns,p99_ns,p999_ns,throughput
log-it-cpp,0,null,1,40,10000,92,182,315,5357529.36
log-it-cpp,0,null,1,200,10000,106,200,354,4900303.33
log-it-cpp,0,null,1,1024,10000,112,221,364,4890032.94
log-it-cpp,0,null,4,40,10000,93,7341,34666,3056898.98
log-it-cpp,0,null,4,200,10000,159,7561,30513,2559124.08
log-it-cpp,0,null,4,1024,10000,219,746,20852,2564110.45
log-it-cpp,0,null,16,40,10000,117,120838,411764,2238446.48
log-it-cpp,0,null,16,200,10000,110,85115,554545,2437013.56
log-it-cpp,0,null,16,1024,10000,124,89455,651284,2160426.81
log-it-cpp,0,file,1,40,10000,92,199,338,3591300.00
log-it-cpp,0,file,1,200,10000,108,218,363,2642238.99
log-it-cpp,0,file,1,1024,10000,131,345,501,1168214.47
log-it-cpp,0,file,4,40,10000,103,14763,67392,2189043.14
log-it-cpp,0,file,4,200,10000,108,4885,84935,2081539.74
log-it-cpp,0,file,4,1024,10000,130,28959,118834,775085.29
log-it-cpp,0,file,16,40,10000,92,63285,592951,2071042.56
log-it-cpp,0,file,16,200,10000,120,100965,1188611,1406287.00
log-it-cpp,0,file,16,1024,10000,126,13572,2525084,966869.26
log-it-cpp,1,null,1,40,10000,6167,140477,160222,1382398.72
log-it-cpp,1,null,1,200,10000,2417634,3757859,3783013,653858.07
log-it-cpp,1,null,1,1024,10000,5753043,20554446,20867541,308368.51
log-it-cpp,1,null,4,40,10000,6898,87823,106759,880174.84
log-it-cpp,1,null,4,200,10000,44699,511957,553072,753077.77
log-it-cpp,1,null,4,1024,10000,24312,1233924,1504219,462569.97
log-it-cpp,1,null,16,40,10000,82385,1664170,1738195,1284781.28
log-it-cpp,1,null,16,200,10000,50742,1497647,1961082,834075.59
log-it-cpp,1,null,16,1024,10000,639279,5262976,8799440,394638.68
log-it-cpp,1,file,1,40,10000,7088,1246048,1282644,1332271.78
log-it-cpp,1,file,1,200,10000,4942082,6824108,6872425,663083.63
log-it-cpp,1,file,1,1024,10000,16798493,27161411,27182741,285371.76
log-it-cpp,1,file,4,40,10000,11576,751585,770923,1134828.27
log-it-cpp,1,file,4,200,10000,996466,2978576,2996734,850021.31
log-it-cpp,1,file,4,1024,10000,496132,4058713,4114558,391014.03
log-it-cpp,1,file,16,40,10000,138088,686063,803493,1189221.99
log-it-cpp,1,file,16,200,10000,350348,917351,1250075,1105190.48
log-it-cpp,1,file,16,1024,10000,1442846,4242603,6039678,414511.81
spdlog,0,null,1,40,10000,269,549,6532,2602869.30
spdlog,0,null,1,200,10000,273,554,733,2655273.07
spdlog,0,null,1,1024,10000,426,1032,6698,1544485.98
spdlog,0,null,4,40,10000,395,739,6905,3372228.62
spdlog,0,null,4,200,10000,302,688,3691,2747732.85
spdlog,0,null,4,1024,10000,600,1373,18289,2235938.46
spdlog,0,null,16,40,10000,380,686,17913,2782964.14
spdlog,0,null,16,200,10000,398,706,2082,2564190.67
spdlog,0,null,16,1024,10000,533,1062,11665,2606821.01
spdlog,0,file,1,40,10000,273,541,906,2196497.82
spdlog,0,file,1,200,10000,279,586,1183,1755113.88
spdlog,0,file,1,1024,10000,473,1056,6362,810368.63
spdlog,0,file,4,40,10000,348,706,11876,1776918.85
spdlog,0,file,4,200,10000,365,861,17962,1304176.98
spdlog,0,file,4,1024,10000,520,1326,8459,571419.27
spdlog,0,file,16,40,10000,412,994,50616,1657493.27
spdlog,0,file,16,200,10000,286,757,20477,1417268.51
spdlog,0,file,16,1024,10000,466,1231,9489,653502.17
spdlog,1,null,1,40,10000,7677,152389,183779,507180.79
spdlog,1,null,1,200,10000,2169183,4708314,4762451,370023.78
spdlog,1,null,1,1024,10000,84415,11790063,11899544,241879.85
spdlog,1,null,4,40,10000,132194,511162,535193,870022.62
spdlog,1,null,4,200,10000,1499973,2722962,2752323,913881.31
spdlog,1,null,4,1024,10000,22604956,32839963,32878927,274923.01
spdlog,1,null,16,40,10000,4699829,6306158,6603405,1115126.81
spdlog,1,null,16,200,10000,4668421,6440606,6597072,1062143.13
spdlog,1,null,16,1024,10000,38525338,42711383,44283213,234910.83
spdlog,1,file,1,40,10000,347073,3865593,3918211,963829.32
spdlog,1,file,1,200,10000,6276270,10251032,10333565,651659.22
spdlog,1,file,1,1024,10000,55686311,112313139,113323355,79589.07
spdlog,1,file,4,40,10000,2242665,3269778,3302128,1222780.30
spdlog,1,file,4,200,10000,3999290,5321481,5391253,912398.77
spdlog,1,file,4,1024,10000,37864894,46101563,46177514,206840.95
spdlog,1,file,16,40,10000,2941855,3332657,4647595,1114334.14
spdlog,1,file,16,200,10000,5490791,6395102,6666719,1418040.65
spdlog,1,file,16,1024,10000,9481221,10600867,11288830,977566.03
